provincia,departamento,nombre,tematica_principal,tipo_de_gestion,mes_de_realizacion,duracion_dias,cantidad_aprox_de_asistentes,tipo_entrada,ultimo_ano_de_realizacion,mes_num
Buenos Aires,Tandil,FERROCK - EDICIÓN 2022,Artística,Privado,Noviembre,3,900,Gratuita,2022,11.0
Buenos Aires,Villarino,"Fiesta Regional de las Colectividades ""El mundo en dos días""",Artística,Privado,Noviembre,3,10000,Gratuita,2022,11.0
Buenos Aires,Chivilcoy,FESTIVAL DE LAS JUVENTUDES,Artística,Privado,Octubre,3,5000,Gratuita,2022,10.0
Buenos Aires,Adolfo Alsina,Aniversario de la Fundación Carhue,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Adolfo Gonzales Chaves,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Adolfo Gonzales Chaves,Corsos a contramano,Expresiones del carnaval,,Noviembre,3,11556,,2022,
Buenos Aires,Alberti,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Almirante Brown,Carnaval,Expresiones del carnaval,,Noviembre,3,11556,,2022,
Buenos Aires,Almirante Brown,Festival Independiente De Teatro De Almirante Brown ,,Público,Noviembre,3,11556,,2020,
Buenos Aires,Avellaneda,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Avellaneda,"Festival de Artes Escénicas 2021 Avellaneda, Territorio Escénico",Artística,Público,Noviembre,3,11556,,2021,
Buenos Aires,Avellaneda,Orgullo Avellaneda,Otra,Público,Noviembre,3,11556,,2020,
Buenos Aires,Ayacucho,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Azul,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Azul,Dia de la tradición Argentina ,Tradicionales,Privado,Noviembre,3,11556,,2021,
Buenos Aires,Bahia Blanca,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Bahia Blanca,Festival Villa Mitre,Otra,Privado,Noviembre,3,11556,Gratuita,2022,
Buenos Aires,Balcarce,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Balcarce,Balcarce es Folkore,Folclórico,,Noviembre,3,11556,,2022,
Buenos Aires,Baradero,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Baradero,Peña Oficial Baradero,Folclórico,,Noviembre,3,11556,,2022,
Buenos Aires,Baradero,Rock en Baradero,Artística,,Noviembre,3,11556,,2022,
Buenos Aires,Arrecifes,Arrecifes Cumbia,Artística,,Noviembre,3,11556,,2022,
Buenos Aires,Arrecifes,Arrecifes Rock 4,Artística,,Noviembre,3,11556,,2022,
Buenos Aires,Benito Juarez,Aniversario de Tedin Uriburu,Cívico / Histórica,Público,Noviembre,3,11556,,2022,
Buenos Aires,Benito Juarez,Fiesta Provincial de la Frambuesa,Productiva,,Noviembre,3,11556,,2022,
Buenos Aires,Benito Juarez,Fiesta Provincial de la Frambuesa,Productiva,,Noviembre,3,11556,,2022,
Buenos Aires,Berazategui,¡Carnaval de Berazategui!,Expresiones del carnaval,,Noviembre,3,11556,,2022,
Buenos Aires,Berazategui,Festival de Jazz,Artística,,Noviembre,3,11556,,2022,
Buenos Aires,Berazategui,Festival de Música Celta,Artística,,Noviembre,3,11556,,2022,
Buenos Aires,Berisso,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Berisso,Fiesta del Vino de la Costa,Productiva,,Noviembre,3,11556,,2022,
Buenos Aires,Berisso,Gastronomía y Baile de Colectividades,Gastronómica,,Noviembre,3,11556,,2022,
Buenos Aires,Bolivar,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Bolivar,Fiestas Patrias,Tradicionales,,Noviembre,3,11556,,2022,
Buenos Aires,Brandsen,Fiesta de La Galleta de Campo,Gastronómica,,Noviembre,3,11556,,2022,
Buenos Aires,Canuelas,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Canuelas,Fiesta del Dulce de Leche,Gastronómica,,Noviembre,3,11556,,2022,
Buenos Aires,Capitan Sarmiento,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Carlos Casares,Fiesta Nacional del Girasol ,Productiva,,Noviembre,3,11556,,2022,
Buenos Aires,Carmen de Areco,Carmen Rock (Edición 2021),,Público,Noviembre,3,11556,,2020,
Buenos Aires,Castelli,157 ° ANIVERSARIO CASTELLI,Cívico / Histórica,Público,Noviembre,3,11556,,2022,
Buenos Aires,Colon,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Coronel Dorrego,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Coronel Pringles,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Coronel Suarez,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Chacabuco,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Chascomus,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Chascomus,Festivales Comunitarios Chascomús,,Público,Noviembre,3,11556,,2020,
Buenos Aires,Daireaux,Fiesta del Cordero,Productiva,,Noviembre,3,11556,,2022,
Buenos Aires,Daireaux,Fiesta del Sabor Aleman,Gastronómica,,Noviembre,3,11556,,2022,
Buenos Aires,Esteban Echeverria,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Esteban Echeverria,Festejo 108 Aniversario Del Partido De Esteban Echeverria,Cívico / Histórica,Público,Noviembre,3,11556,,2020,
Buenos Aires,Esteban Echeverria,Festejo 108 Aniversario del Partido de Esteban Echeverria,Cívico / Histórica,Público,Noviembre,3,11556,,2021,
Buenos Aires,Florencio Varela,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Florencio Varela,Expo Varela Rock,,Público,Noviembre,3,11556,,2021,
Buenos Aires,General Alvear,Aniversario del municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,General Arenales,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,General Belgrano,Festival Mayor de Tango y Folklore,Folclórico,,Noviembre,3,11556,,2022,
Buenos Aires,General Belgrano,Fiesta de la Bondiola,Gastronómica,,Noviembre,3,11556,,2022,
Buenos Aires,General Guido,Fiesta Aniversario de Labarden,Cívico / Histórica,Público,Noviembre,3,11556,,2022,
Buenos Aires,General Guido,Fiesta Provincial del Caballo Criollo,Otra,,Noviembre,3,11556,,2022,
Buenos Aires,General Juan Madariaga,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,General La Madrid,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,General Lavalle,Fiesta de la Torta Negra,Gastronómica,,Noviembre,3,11556,,2022,
Buenos Aires,General Lavalle,Fiesta Nacional Santos Vega,Folclórico,,Noviembre,3,11556,,2022,
Buenos Aires,General Paz,Festival de Villanueva,Cívico / Histórica,,Noviembre,3,11556,,2022,
Buenos Aires,General Pueyrredon,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,General Pueyrredon,"Festival de Poesía, de Acá",,Privado,Noviembre,3,11556,,2020,
Buenos Aires,General Pueyrredon,FESTIVAL IFUF,,Privado,Noviembre,3,11556,,2021,
Buenos Aires,General Viamonte,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,General Viamonte,Carnaval,Expresiones del carnaval,,Noviembre,3,11556,,2023,
Buenos Aires,General Viamonte,Festival del Queso,Gastronómica,,Noviembre,3,11556,,2022,
Buenos Aires,General Villegas,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,General Villegas,VERANO FOLKLÓRICO ,Folclórico,,Noviembre,3,11556,,2023,
Buenos Aires,Guamini,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Hipolito Yrigoyen,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Hurlingham,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Hurlingham,Festival Irreverente - disidencias sexogenéricas agitando el conurbano,,Privado,Noviembre,3,11556,,2020,
Buenos Aires,Ituzaingo,Festival Internacional De Cine De Ituzaingó,,Público,Noviembre,3,11556,,2020,
Buenos Aires,Jose C. Paz,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Junin,Fiesta del Pejerrey,Productiva,,Noviembre,3,11556,,2022,
Buenos Aires,Junin,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Junin,Festival Estival de Música Independiente - FEMI 2022,,Privado,Noviembre,3,11556,,2021,
Buenos Aires,La Costa,Fiesta Regional Aniversario de Las Toninas,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,La Costa,Fiesta Nacional del Sol y la familia,Otra,,Noviembre,3,11556,,2022,
Buenos Aires,La Costa,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,La Costa,Fiesta Nacional Aniversario de Santa Teresita,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,La Plata,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,La Plata,"Festival Danzafuera, Novena Edición ",,Privado,Noviembre,3,11556,,2021,
Buenos Aires,La Plata,FESTIVAL DE APERTURA DE TEMPORADA,,Privado,Noviembre,3,11556,,2020,
Buenos Aires,La Plata,Festival Itinerante disidente,,Privado,Noviembre,3,11556,,2021,
Buenos Aires,La Plata,Festival Woddsvendetta IV,,Privado,Noviembre,3,11556,,2020,
Buenos Aires,Laprida,Festival Nacional De Circo Callejero,,Público,Noviembre,3,11556,,2020,
Buenos Aires,Las Flores,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Lincoln,Actos Conmemorativos del Aniversario de la Revolución de Mayo,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Lincoln,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Lincoln,CarnavaLincoln,Expresiones del carnaval,,Noviembre,3,11556,,2022,
Buenos Aires,Lobos,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Lomas de Zamora,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Lomas de Zamora,Fiesta familiar Carnaval,Expresiones del carnaval,,Noviembre,3,11556,,2022,
Buenos Aires,Lujan,Fiesta Del Sol,,Público,Noviembre,3,11556,,2020,
Buenos Aires,Lujan,Festival de Tango de Luján,,Público,Noviembre,3,11556,,2021,
Buenos Aires,Magdalena,20 de Noviembre - Aniversario de Magdalena,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Maipu,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Mar Chiquita,Fiesta del Fogón ,,Privado,Noviembre,3,11556,,2021,
Buenos Aires,Marcos Paz,Fiesta Regional del Jamón,,Público,Noviembre,3,11556,,2021,
Buenos Aires,Marcos Paz,Quilombo. Festival Cultural Afroargentino,,Privado,Noviembre,3,11556,,2020,
Buenos Aires,Mercedes,Fiesta Provincial De La Torta Frita,,Público,Noviembre,3,11556,,2020,
Buenos Aires,Mercedes,Música En La Trocha,,Público,Noviembre,3,11556,,2020,
Buenos Aires,Merlo,Fiesta Patronal De San Antonio De Padua,,Público,Noviembre,3,11556,,2020,
Buenos Aires,Monte Hermoso,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Navarro,Aniversario de la Autonomía,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Necochea,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,9 de Julio,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Olavarria,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Olavarria,Aniversario Hinojo,Cívico / Histórica,Público,Noviembre,3,11556,,2022,
Buenos Aires,Olavarria,ESPIGAS EN ACCIÓN,Artística,,Noviembre,3,11556,,2022,
Buenos Aires,Olavarria,Fiesta del Caballo,Productiva,,Noviembre,3,11556,,2022,
Buenos Aires,Olavarria,KreppelFest,Artística,,Noviembre,3,11556,,2022,
Buenos Aires,Olavarria,Recalde Crece,Cívico / Histórica,,Noviembre,3,11556,,2022,
Buenos Aires,Patagones,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Pehuajo,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Pellegrini,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Pergamino,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Pilar,Aniversario de la Firma del Tratado del Pilar,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Pilar,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Pinamar,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Presidente Peron,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Puan,Aniversario de la Ciudad de Púan,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Punta Indio,Carnavales Federales en Pipinas,Expresiones del carnaval,,Noviembre,3,11556,,2022,
Buenos Aires,Punta Indio,90° ANIVERSARIO PUNTA DEL INDIO,Cívico / Histórica,Público,Noviembre,3,11556,,2022,
Buenos Aires,Punta Indio,Carnavales Federales en Punta Indio,Expresiones del carnaval,,Noviembre,3,11556,,2022,
Buenos Aires,Punta Indio,Fiesta de la Mariposa Bandera Argentina,Otra,,Noviembre,3,11556,,2022,
Buenos Aires,Punta Indio,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Quilmes,Festival Guateque,,Privado,Noviembre,3,11556,,2021,
Buenos Aires,Ramallo,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Rauch,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Rivadavia,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Rojas,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Roque Perez,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Roque Perez,Aniversario del Municipio,Cívico / Histórica,Público,Noviembre,3,11556,,,
Buenos Aires,Saavedra,Fiesta de la Primavera 2022,Otra,,Noviembre,3,11556,,2022,
